time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-04-09T22:00:00.035000,0.0,-0.29939687157998307
2022-04-09T22:00:00.085000,0.05,-0.2942466789251073
2022-04-09T22:00:00.135000,0.1,-0.28798226653893083
2022-04-09T22:00:00.185000,0.15,-0.28645017354616
2022-04-09T22:00:00.235000,0.2,-0.28593235963736285
2022-04-09T22:00:00.285000,0.25,-0.2581126944363209
2022-04-09T22:00:00.335000,0.3,-0.2493020737758847
2022-04-09T22:00:00.385000,0.35,-0.264506999895328
2022-04-09T22:00:00.435000,0.4,-0.25648516813125494
2022-04-09T22:00:00.485000,0.45,-0.2860341867039394
2022-04-09T22:00:00.535000,0.5,-0.24104110248056396
2022-04-09T22:00:00.585000,0.55,-0.1389238685693146
2022-04-09T22:00:00.635000,0.6,-0.1915220795330879
2022-04-09T22:00:00.685000,0.65,-0.26942511356841314
2022-04-09T22:00:00.735000,0.7,-0.22812626546466677
2022-04-09T22:00:00.785000,0.75,-0.04288801010494761
2022-04-09T22:00:00.835000,0.8,-0.14277435991163734
2022-04-09T22:00:00.885000,0.85,-0.20841585555128564
2022-04-09T22:00:00.935000,0.9,0.01764678480655109
2022-04-09T22:00:00.985000,0.95,-0.1761363005605444
2022-04-09T22:00:01.035000,1.0,-0.014531944687027683
2022-04-09T22:00:01.085000,1.05,-0.06957965213310378
2022-04-09T22:00:01.135000,1.1,-0.3792267509268295
2022-04-09T22:00:01.185000,1.15,0.14143153906918635
2022-04-09T22:00:01.235000,1.2,0.1379179462624569
2022-04-09T22:00:01.285000,1.25,0.10536011547677995
2022-04-09T22:00:01.335000,1.3,0.28569953409276383
2022-04-09T22:00:01.385000,1.35,-0.40590389089753004
2022-04-09T22:00:01.435000,1.4,-0.5749891030780517
2022-04-09T22:00:01.485000,1.45,0.27079564410323176
2022-04-09T22:00:01.535000,1.5,0.4439322796500538
2022-04-09T22:00:01.585000,1.55,0.059674268244354345
2022-04-09T22:00:01.635000,1.6,-0.31613044374720006
2022-04-09T22:00:01.685000,1.65,-0.22268017809421065
2022-04-09T22:00:01.735000,1.7,0.6976673148260433
2022-04-09T22:00:01.785000,1.75,0.11689749689275916
2022-04-09T22:00:01.835000,1.8,-0.5113158065965744
2022-04-09T22:00:01.885000,1.85,0.41798698233387543
2022-04-09T22:00:01.935000,1.9,-0.09711158918481438
2022-04-09T22:00:01.985000,1.95,0.003534817607044771
2022-04-09T22:00:02.035000,2.0,1.104171016119767
2022-04-09T22:00:02.085000,2.05,0.1784253609222679
2022-04-09T22:00:02.135000,2.1,-0.0627826411620811
2022-04-09T22:00:02.185000,2.15,0.9559353680998566
2022-04-09T22:00:02.235000,2.2,1.2588904628412627
2022-04-09T22:00:02.285000,2.25,0.0056757590498778265
