time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2019-09-21T03:00:00.037000,0.0,-0.03801828883768619
2019-09-21T03:00:00.087000,0.05,-0.036310571179014525
2019-09-21T03:00:00.137000,0.1,-0.034555046621053936
2019-09-21T03:00:00.187000,0.15,-0.03275617348348918
2019-09-21T03:00:00.237000,0.2,-0.03091859560240556
2019-09-21T03:00:00.287000,0.25,-0.029047141351557816
2019-09-21T03:00:00.337000,0.3,-0.02714682243378056
2019-09-21T03:00:00.387000,0.35,-0.02522283243867799
2019-09-21T03:00:00.437000,0.4,-0.02328054516290138
2019-09-21T03:00:00.487000,0.45,-0.021325512689501846
2019-09-21T03:00:00.537000,0.5,-0.019363463223032683
2019-09-21T03:00:00.587000,0.55,-0.017400298677270727
2019-09-21T03:00:00.637000,0.6,-0.015442092012629105
2019-09-21T03:00:00.687000,0.65,-0.013495084320545135
2019-09-21T03:00:00.737000,0.7,-0.011565681652346326
2019-09-21T03:00:00.787000,0.75,-0.00966045159032485
2019-09-21T03:00:00.837000,0.8,-0.0077861195589864285
2019-09-21T03:00:00.887000,0.85,-0.005949564874683079
2019-09-21T03:00:00.937000,0.9,-0.004157816532090783
2019-09-21T03:00:00.987000,0.95,-0.002418048726252672
2019-09-21T03:00:01.037000,1.0,-0.0007375761091757526
2019-09-21T03:00:01.087000,1.05,0.0008761512197555259
2019-09-21T03:00:01.137000,1.1,0.002415552990002505
2019-09-21T03:00:01.187000,1.15,0.0038729243028953254
2019-09-21T03:00:01.237000,1.2,0.005240441441320439
2019-09-21T03:00:01.287000,1.25,0.006510167945631678
2019-09-21T03:00:01.337000,1.3,0.007674060955030947
2019-09-21T03:00:01.387000,1.35,0.008723977813344391
2019-09-21T03:00:01.437000,1.4,0.009651682937792637
2019-09-21T03:00:01.487000,1.45,0.010448854949019395
2019-09-21T03:00:01.537000,1.5,0.011107094060301515
2019-09-21T03:00:01.587000,1.55,0.011617929723515557
2019-09-21T03:00:01.637000,1.6,0.011972828529081101
2019-09-21T03:00:01.687000,1.65,0.012163202356739712
2019-09-21T03:00:01.737000,1.7,0.012180416773660647
2019-09-21T03:00:01.787000,1.75,0.012015799675990499
2019-09-21T03:00:01.837000,1.8,0.011660650169584171
2019-09-21T03:00:01.887000,1.85,0.011106247685269376
2019-09-21T03:00:01.937000,1.9,0.010343861323606372
2019-09-21T03:00:01.987000,1.95,0.00936475942370936
2019-09-21T03:00:02.037000,2.0,0.008160219350296202
2019-09-21T03:00:02.087000,2.05,0.006721537492729444
2019-09-21T03:00:02.137000,2.1,0.005040039469404368
2019-09-21T03:00:02.187000,2.15,0.0031070905304296553
2019-09-21T03:00:02.237000,2.2,0.0009141061511337668
2019-09-21T03:00:02.287000,2.25,-0.0015474371914841602
2019-09-21T03:00:02.337000,2.3,-0.004285991067655722
2019-09-21T03:00:02.387000,2.35,-0.007309923977810224
2019-09-21T03:00:02.437000,2.4,-0.010627510078737332
2019-09-21T03:00:02.487000,2.45,-0.014246917762492348
2019-09-21T03:00:02.537000,2.5,-0.01817619809800752
2019-09-21T03:00:02.587000,2.55,-0.02242327314578852
2019-09-21T03:00:02.637000,2.6,-0.026995924156489933
2019-09-21T03:00:02.687000,2.65,-0.03190177966457677
2019-09-21T03:00:02.737000,2.7,-0.03714830348868996
2019-09-21T03:00:02.787000,2.75,-0.04274278265074224
2019-09-21T03:00:02.837000,2.8,-0.04869231522617563
2019-09-21T03:00:02.887000,2.85,-0.0550037981382125
2019-09-21T03:00:02.937000,2.9,-0.061683914909327786
2019-09-21T03:00:02.987000,2.95,-0.06873912338355954
2019-09-21T03:00:03.037000,3.0,-0.0761756434336569
2019-09-21T03:00:03.087000,3.05,-0.08399944466743786
2019-09-21T03:00:03.137000,3.1,-0.0922162341480918
2019-09-21T03:00:03.187000,3.15,-0.1008314441435133
2019-09-21T03:00:03.237000,3.2,-0.10985021992009328
2019-09-21T03:00:03.287000,3.25,-0.11927740759671958
2019-09-21T03:00:03.337000,3.3,-0.12911754207505216
2019-09-21T03:00:03.387000,3.35,-0.1393748350624355
2019-09-21T03:00:03.437000,3.4,-0.1500531632040956
2019-09-21T03:00:03.487000,3.45,-0.1611560563415358
2019-09-21T03:00:03.537000,3.5,-0.17268668591429767
2019-09-21T03:00:03.587000,3.55,-0.1846478535224876
2019-09-21T03:00:03.637000,3.6,-0.1970419796676877
2019-09-21T03:00:03.687000,3.65,-0.20987109269006965
