time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-05-04T23:00:00.048000,0.0,-0.27117419814596594
2022-05-04T23:00:00.098000,0.05,-0.30021780081718247
2022-05-04T23:00:00.148000,0.1,-0.33056844857015766
2022-05-04T23:00:00.198000,0.15,-0.3739834092212138
2022-05-04T23:00:00.248000,0.2,-0.4024332445941447
2022-05-04T23:00:00.298000,0.25,-0.40671313115296964
2022-05-04T23:00:00.348000,0.3,-0.41083635071468233
2022-05-04T23:00:00.398000,0.35,-0.4005864885615097
2022-05-04T23:00:00.448000,0.4,-0.5090820933421366
2022-05-04T23:00:00.498000,0.45,-0.5903825542580389
2022-05-04T23:00:00.548000,0.5,-0.4275912384319621
2022-05-04T23:00:00.598000,0.55,-0.593183098672698
2022-05-04T23:00:00.648000,0.6,-0.6175066873902745
2022-05-04T23:00:00.698000,0.65,-0.3118073564580347
2022-05-04T23:00:00.748000,0.7,-0.585457265507391
2022-05-04T23:00:00.798000,0.75,-0.3793612133864945
2022-05-04T23:00:00.848000,0.8,-0.557697305544745
2022-05-04T23:00:00.898000,0.85,-1.3063017049806671
2022-05-04T23:00:00.948000,0.9,-0.7422526429622521
2022-05-04T23:00:00.998000,0.95,-0.48152141532277704
2022-05-04T23:00:01.048000,1.0,-0.615618802756839
2022-05-04T23:00:01.098000,1.05,-0.6616388949447468
2022-05-04T23:00:01.148000,1.1,-0.6825902401996373
2022-05-04T23:00:01.198000,1.15,-1.1166043839471322
2022-05-04T23:00:01.248000,1.2,-1.0296637398097515
2022-05-04T23:00:01.298000,1.25,-0.2538043059370716
2022-05-04T23:00:01.348000,1.3,-1.0642822354407506
2022-05-04T23:00:01.398000,1.35,-0.45803813344250155
2022-05-04T23:00:01.448000,1.4,-0.35772751189565133
2022-05-04T23:00:01.498000,1.45,-0.3159923906776392
2022-05-04T23:00:01.548000,1.5,0.2702929411842647
2022-05-04T23:00:01.598000,1.55,-2.042929421095241
2022-05-04T23:00:01.648000,1.6,-1.6834542957153855
2022-05-04T23:00:01.698000,1.65,-1.2384445148228211
2022-05-04T23:00:01.748000,1.7,-1.134681178206266
2022-05-04T23:00:01.798000,1.75,-0.005774322066843807
2022-05-04T23:00:01.848000,1.8,-2.484603957708619
2022-05-04T23:00:01.898000,1.85,-2.715609804175145
2022-05-04T23:00:01.948000,1.9,-0.570612007063521
2022-05-04T23:00:01.998000,1.95,0.3050867471947618
2022-05-04T23:00:02.048000,2.0,-0.2753374960925119
2022-05-04T23:00:02.098000,2.05,-0.6783475821355633
2022-05-04T23:00:02.148000,2.1,-0.03969458873807974
2022-05-04T23:00:02.198000,2.15,-1.4781071350013257
2022-05-04T23:00:02.248000,2.2,-0.6035358777825637
2022-05-04T23:00:02.298000,2.25,-0.9567576095413699
2022-05-04T23:00:02.348000,2.3,-1.261659540021057
2022-05-04T23:00:02.398000,2.35,0.518962875011848
2022-05-04T23:00:02.448000,2.4,-4.471071239849346
2022-05-04T23:00:02.498000,2.45,-3.524599514079217
2022-05-04T23:00:02.548000,2.5,2.060912504493462
2022-05-04T23:00:02.598000,2.55,-0.9966922803878644
2022-05-04T23:00:02.648000,2.6,-1.0641226005872597
2022-05-04T23:00:02.698000,2.65,0.15814499355670408
